,original_user_link,original_context,original_time
37,https://weibo.com/u/5639305668,"肖战超话#肖战1005生日快乐#肖战1005生日快乐超话#肖战#
抽奖贴
战哥生日来了，所以来抽一波奖
1⃣抽一位送卡通字母六件套（如图1）
2⃣抽两位各送一个钥匙扣（如图2）
3⃣抽一位送木制相框（如图3）
4⃣抽一位送玻璃相框（如图4）
5⃣抽一位送立牌（如图6）
6⃣抽一位送16个冰箱贴（如图7）
7⃣抽一位送小红绳（如图8）
8⃣抽一位送灯牌（如图9）
9⃣抽105楼送现金10.5
1⃣0⃣抽129楼送现金10.5

条件：
1️⃣唯粉
2️⃣主超等级≥9
3️⃣带#肖战1005生日快乐# 转赞评本条微博
4⃣关注@X玖少年团肖战DAYTOY @肖战工作室
注意:无需邮费，中奖后带截图领奖！不符合条件的重抽！

开奖时间为10.10号

一切解释权归我 O抽奖详情",10月5日 10:05
38,https://weibo.com/u/1658631917,希望某些饭圈女孩能明白，你做公益是因为你内心的善良，而不是去寻找群体认同感，来证明你偶像是多么正能量去给他贴金，中华儿女这四个字比我是xx粉丝更有格局。,10月5日 20:12
39,https://weibo.com/u/7461511361,"雅诗兰黛还是怂了
拉黑吧
广告费直接全给他打水漂",10月6日 00:04
40,https://weibo.com/u/6475004534,"“所有的烦恼说拜拜”
“所有的快乐说嗨嗨”
又一年啦！想说的话都唱在歌里了🥳生日快乐@X玖少年团肖战DAYTOY
（真的有在唱 很小声而已 献丑了🏃🏻‍♀️） L追星PD的微博视频",10月5日 23:01
41,https://weibo.com/baiyiyisugar,"肖战最好的你超话  我对你的喜欢，明目张胆，溢于言表，众所周知！
最好的肖战，愿你一世欢喜，一世平安！
#我画的就是肖战# #肖战1005生日快乐#",10月3日 15:04
42,https://weibo.com/u/6984262573,"【树洞投稿】
一个喜欢肖战的朋友，前天还在劝我不要自杀，今天得知我讨厌肖战之后就让我去死。",10月6日 00:29
43,https://weibo.com/u/7291736138,"肖战超话#肖战1005生日乐园#
亲爱的兔兔
29岁生日快乐呀@X玖少年团肖战DAYTOY",10月5日 23:18
44,https://weibo.com/u/6381159202,#肖战正能量艺人# xz #肖战# 大名gc净化一波 R春日樱花集的微博投票,10月5日 23:55
45,https://weibo.com/smgbestv,#肖战1005生日快乐##肖战出道四周年快乐#谦和有礼，从歌手到演员，一步一个脚印，一路砥砺前行，敢于突破。保持清醒，永远热爱，期待@X玖少年团肖战DAYTOY 带给我们更多的作品。更多肖战超话最新动态，请关注【百视通IPTV娱乐】和@爱逗-IDOL （视频via@-ChasingYou- ）L爱逗IDOL的秒拍视频,10月5日 07:00
46,https://weibo.com/u/5125136122,"#肖战吹蜡烛# xz #肖战#

所有的晦暗都留给过往

从遇见你的那一刻开始，凛冬散尽，星河长明

“无论何时，我都愿你快乐” L北向故里的微博视频",10月6日 00:52
47,https://weibo.com/u/6747117535,"#肖战#xz#肖战余生请多指教#
你是微笑里的甜，还是眼泪里的咸～
这是一份想要寄到你心里的电子明信片
请肖战哥哥查收@X玖少年团肖战DAYTOY

Cr: L佛系兔子一只的微博视频",10月6日 00:58
48,https://weibo.com/ziyzizai,其实这张图非常行为艺术：强行闯入不属于他们的地方，用黑大又丑陋的两个字，粗暴强硬蛮横地盖过了自由而斑斓的艺术表达，这就是AO3以来这群人一直在干的事。,10月6日 00:19
49,https://weibo.com/u/5264926524,"#肖战吹蜡烛# /#肖战#

过生日，吃蛋糕，吹蜡烛，真的非常棒！
肖战也不例外！29岁生日快乐呀！
@X玖少年团肖战DAYTOY
同时#陈浩用海绵宝宝配音为肖战庆生# ，也真的太棒了",10月6日 00:35
50,https://weibo.com/xiaozhan1,,10月5日 00:00
51,https://weibo.com/zdjzyd2011,"#肖战# xz #肖战吹蜡烛#
试图吹仙女棒的肖战、被抹了一脸蛋糕的肖战
都太可爱啦（蛋糕是我抹的，真的）
生日结束了，也希望你每天开开心心快快乐乐
@X玖少年团肖战DAYTOY
L兔毛栽培队的微博视频",10月6日 00:52
52,https://weibo.com/u/6530260851,"▷ 众相渡他

⌜关于注释⌟",10月5日 21:22
53,https://weibo.com/u/6424341827,#川美# 无人机表演活动地点在大学城的步行街上，也有很多路人，川美这个校区在步行街旁边，这个校区没有专门的涂鸦墙。而涂鸦墙在另外一个校区，换乘公交至少1个小时。移花接木，偷梁换柱，个体上升群体扣帽子污名化群体引导网暴，这套路熟不熟悉？,10月6日 00:57
54,https://weibo.com/u/5372288504,"#愿君安#xz#肖战#
策划54天，实际历时44天，制作30天，肖战新电影《愿君安》已上线！

亲爱的肖战，祝你生日快乐，所有的努力皆为你愿，所有的心愿都能梦圆。@X玖少年团肖战DAYTOY

L虾圈配音社的微博视频",10月5日 21:33
55,https://weibo.com/u/7315976590,不错子#肖战吹蜡烛# 许愿#愿君安#,10月6日 00:48
56,https://weibo.com/u/6585364613,@X玖少年团肖战DAYTOY 生日快乐一起关心柴米油盐，演绎人生滋味，我们在初雪相见，转眼已有三季啦。很有幸能在这个混乱的2020与你并肩而行，呐，快许个愿，一起吃蛋糕 #肖战为你开小灶# #肖战1005生日快乐#,10月5日 00:00
57,https://weibo.com/woaizhenguoli,#轻轻花果赞不绝口# 叮咚～肖战超话 @X玖少年团肖战DAYTOY 战战的“璀璨”生日礼时尚大片出炉！张张祝愿印成画册、声声祝福装入留声机，满满爱意尽在礼盒中💝~全球独一份，战战专属喔～,10月5日 16:30
58,https://weibo.com/u/2883176142,"生日快乐，岁岁快乐❤️
@X玖少年团肖战DAYTOY L磕什么磕的微博视频",10月5日 11:26
59,https://weibo.com/u/3028215832,#肖战#今天肖战29岁生日，在这一年里他经历了爆红爆负，那么你们是通过什么开始对肖战熟知的？ R娱扒爷的微博投票,10月5日 00:02
60,https://weibo.com/amyjacqueline,"实用：拉黑@开小灶官方微博 和蒙牛@真果粒 官博就能屏蔽瘟神开屏广告。
感谢图源@林笺笺笺笺笺本人
#10.05失格艺人肖战公祭日# #我是普通人,我讨厌肖战#",10月5日 13:34
61,https://weibo.com/u/6375271892,"#肖战#   #肖战1005生日快乐#
第五个生日啦
分享几张27岁的肖战",10月5日 23:42
62,https://weibo.com/xb910,"#给兔子队长的生日礼物#
2020

我不迷信，但听说这个生日过了就会好起来，我就信了。
不知如何表达心意，但又只有不足道心意拿得出来。
祝你生日快乐。
你喜欢的事物围绕周围。
天天有玩具，天天开心。",10月5日 22:05
63,https://weibo.com/u/1622290293?refer_flag=0000015010_&from=feed&loc=nickname,"安全到达
尾巴们早点休息",10月17日 22:39
64,https://weibo.com/u/5619926600,"#肖战吹蜡烛#是29岁新鲜的肖战依旧可爱#陈浩用海绵宝宝配音为肖战庆生# @X玖少年团肖战DAYTOY
  L星闻揭秘的微博视频",10月6日 00:46
65,https://weibo.com/u/6157726889,"黑热搜虽迟但到。

乱涂乱画是每个人都应该拒绝的行为，不针对图中任何艺人，因为连我家三岁小孩儿都知道粉丝行为跟他们无关。但一再重演几个月“个例上升群体”故意抹黑的套路，且只针对一个艺人，实在没劲，看腻了。#川美#",10月6日 00:06
66,https://weibo.com/u/1892182450,珍藏的美好瞬间 L美薯赞酱的微博视频,10月5日 23:39
67,https://weibo.com/u/3690663182,"#陈浩用海绵宝宝配音为肖战庆生#
前面还在猜，今天有没有什么能把刚刚29岁飞奔着脚步奔向男人的大男孩再“钓”上来一次……
果然，依然是肖战呀。

那个从小到大超喜欢海绵宝宝的小朋友，给心爱的动画片一人几角色无缝配音的小朋友。

那个号称自己“很有包袱”，可表情包无比充裕且时刻更新充盈，用来评论抢沙发无比顺手的小朋友。

那个在综艺候场时，自得自在，远远地和自己玩光影手指舞的小朋友。

那个异国的冬天拍摄工作间隙，蹲下来认认真真拍一个井盖再po上微博的小朋友。

那个团综节目里，牵着一只气球猪出场，没有cue到他时，默默抚摸安慰演出一场“爱恨情仇”大戏的小朋友。

那个外面腥风血雨，他安然欣赏一场大秀，仰头拍了秀场屋顶分享给大家；一直随行秀场vlog拍摄结束时，连说几句“下班啦，我下班啦，下班啦88”的小朋友。

真好呀，“依然是肖战”。

就再说一次吧：
肖战啊，我的大明星，我的小朋友，生日快乐，天天有玩具，岁岁都快乐！
#肖战1005生日快乐#",10月5日 21:49
68,https://weibo.com/u/3168541670,"#肖战# 🐰 #肖战吹蜡烛#
心想事成！",10月6日 00:28
69,https://weibo.com/u/3873782024,"#肖战1005生日快乐#

度过了被温馨与惊喜填满的一天。八方来贺，共为你奏响一曲温柔赞歌。

零星烟火划破夜色，将世间所有真挚的祝福汇聚予你，未来每一天都将在热爱与收获中度过。我们一起眺望着彼岸的奇彩，扬帆起航，无畏前行。

在29岁的第一天，祝你以后的每一天都快乐，岁岁年年永沐欢喜，余生尽享山高海阔！

@X玖少年团肖战DAYTOY

图上粉丝准备接收礼物！请将收件地址交至对应群管理或私信小网宣，邮费自理哦～",10月6日 00:30
70,https://weibo.com/FUGUOGUANGYIN,《爱在日落黄昏时》,10月5日 15:41
71,https://weibo.com/u/5735157117,"肖战超话🎂#肖战1005生日快乐#

【#肖战1005生日乐园#】平安喜乐生日蛋糕

蛋糕里蕴藏绵甜的爱意，烛光间摇曳着真挚的祝福。此刻我们一同许下心愿，再吹灭蜡烛。
让我们一同祝愿@X玖少年团肖战DAYTOY 生日快乐！愿前程星河万顷，愿余生恣意无忧。

“肖战1005生日乐园”线上活动到此结束，感谢大家的支持！

转发评论，送出美好的生日祝福吧！
🎁转发随机抽取2位，将分别获得1️⃣生日蛋糕+奖品礼包（钥匙扣，立牌组）；2️⃣奖品礼包（立牌组，PB，夜灯）。
🎁评论区手动抽取两个走心祝福，送出两份奖品礼包（钥匙扣，立牌组，水杯，PB，夜灯）。

春来夏往，秋收冬藏，未来还有更多惊喜等着我们一同奔赴。L肖战影音会官微的微博视频 O抽奖详情",10月5日 22:00
72,https://weibo.com/u/5850773012,"#川美#
视频来源@ba哥专用
大晚上搁人家门口吼，一个两个是王八，是披皮黑
。这人山人海的还能洗？，饭圈洗衣机非虾莫属 L高0惨妇杜炀的微博视频",10月6日 00:55
73,https://weibo.com/u/2447034645?refer_flag=0000015010_&from=feed&loc=nickname,"进组前 最后一个舞台
今晚送给你们一个18年的回忆
看看你们能发现吗……有哪里 相似……",今天 15:36
74,https://weibo.com/graziachina,#红秀热议# 去年的夏天@X玖少年团肖战DAYTOY 和我们一起迎来了红秀电子刊的第一期！在那个微风拂面的夏天一起感受美好！ 祝肖战29岁生日快乐！祝这位不忘初心的少年接下来的日子越来越好，甩开烦恼珍惜当下！#肖战1005生日快乐# L红秀GRAZIA的微博视频,10月5日 19:43
