,user_link,context,time,like_num
58,https://weibo.com/6802934719?refer_flag=1001030103_,#川美#肖战的粉（jian）丝（chu）们真的很感人，给割割办了这么盛大的欢送会，割割可以含笑投胎了,10月06日 00:59,3
59,https://weibo.com/5773957576?refer_flag=1001030103_,"#川美##肖战# 别洗了别洗了洗不干净的
太晦气了一天之内竟然要跨两次火山🙏",10月06日 00:59,2
60,https://weibo.com/7393311461?refer_flag=1001030103_,肖战 今天我已经为肖战贡献302383人气，肖战现在排行第1。vx搜索小程序“爱豆圈子”加入肖战圈子，赢取榜单福利。【福利查看】请戳→O网页链接 @爱豆圈子 2佛山,10月06日 00:59,
61,https://weibo.com/7387646897?refer_flag=1001030103_,"肖战最好的你#肖战余生请多指教# xz #肖战斗罗大陆# 肖战俊美绝伦，肖战五官清秀，肖战气宇轩昂，肖战翩翩少年，肖战爽朗清举，肖战才貌双全 ，肖战温文尔雅，肖战清新俊逸 ，肖战品貌非凡，肖战玉树临风，肖战成熟稳重@X玖少年团肖战DAYTOY

肖战余生请多指教 肖战斗罗大陆",10月06日 00:59,1
62,https://weibo.com/7310979273?refer_flag=1001030103_,#肖战# 昨天是美好的一天，超级开心，一起走下去吧，面向大海，春暖花开,10月06日 00:59,
63,https://weibo.com/7485328231?refer_flag=1001030103_,#川美##请肖战粉丝远离川美# 无语子 追星变拜神,10月06日 00:59,
64,https://weibo.com/5600230239?refer_flag=1001030103_,"肖战#肖战余生请多指教# xz #肖战斗罗大陆#

保持赤诚是我们对世界的一种态度，一种生活的信念和原则，对于我来说，就算遭遇怀疑和不理解，我也会按照自己的想法去追求自己的梦想。
———肖战

肖战 xz xzgg 展开全文c",10月06日 00:59,24
65,https://weibo.com/3298689337?refer_flag=1001030103_,"#肖战# xz#肖战吹蜡烛#
战战哎。
@X玖少年团肖战DAYTOY
最真实的喜怒哀乐，最真实的内心细节。
其实回忆起遇见你到爱上你的一切，真的是细节点滴决定了很多。喜欢你的谦谦有礼，喜欢你待人的善良可爱，喜欢你的声音，喜欢你的性格，喜欢你的阳光向上，喜欢你的坚韧不拔，喜欢你的努力拼搏，最重要的 展开全文c",10月06日 00:59,
66,https://weibo.com/6983802671?refer_flag=1001030103_,川美川美学生只有硬扛着再准备今年修复涂鸦街的事情了。 #川美##肖战# #重庆新闻# 艺术品上真不能再被糟蹋了！！！！！这苦头只有川美学生才知道！,10月06日 00:59,2741
67,https://weibo.com/6582741163?refer_flag=1001030103_,"#肖战# xz #肖战吹蜡烛#
试图吹仙女棒的肖战、被抹了一脸蛋糕的肖战
都太可爱啦
生日结束了，也希望你每天开开心心快快乐乐
@X玖少年团肖战DAYTOY L兔毛栽培队的微博视频",10月06日 00:59,7
68,https://weibo.com/6243336238?refer_flag=1001030103_,#肖战吹蜡烛##陈浩用海绵宝宝配音为肖战庆生##愿君安# 好一个憨憨,10月06日 00:59,
69,https://weibo.com/7504382552?refer_flag=1001030103_,#肖战吹蜡烛##肖战吹蜡烛#希望你在29岁的时候依旧开心，依旧自由自在，依旧做你自己。看到你身边的人都那么宠你，我太开心了啦，加油，肖战。你是我前行的光,10月06日 00:59,
70,https://weibo.com/1732587021?refer_flag=1001030103_,#肖战1005生日快乐##肖战吹蜡烛# 晚安啦,10月06日 00:59,
71,https://weibo.com/7464393009?refer_flag=1001030103_,#川美#肖战好贱,10月06日 00:59,
72,https://weibo.com/5432552308?refer_flag=1001030103_,#肖战吹蜡烛##愿君安##肖战1005生日快乐# 我好感动哦！我喜欢的男孩，有这么多姐妹也喜欢他！喜欢的这么纯粹，这么真诚，这么勇敢！多么优秀的战战啊！[泣不成声][泣不成声],10月06日 00:59,
73,https://weibo.com/6873669187?refer_flag=1001030103_,"# 腾讯新闻 # 星推榜小助手：#肖战#他是人间炙热与曙光，是热心公益的正能量男孩，肖战生日快乐
星推榜特别联合#肖战#星推榜话题主持人@1005号虾虾能量客栈 带来了战战的生日公益视频策划。
未来，我们继续一起，传递正能量、传递爱！[打电话][打电话][打电话] O腾讯新闻·热推 来自 展开全文c",10月06日 00:59,
74,https://weibo.com/6053912446?refer_flag=1001030103_,#肖战1005生日快乐# 29岁的第一天 2成都,10月06日 00:59,1
75,https://weibo.com/5739774005?refer_flag=1001030103_,#肖战吹蜡烛#肖战#肖战吹蜡烛##愿君安# 晚安啦，每天都会开开心心的,10月06日 00:59,
76,https://weibo.com/6612361277?refer_flag=1001030103_,"#肖战吹蜡烛#肖战#肖战#

宝贝战天天开心 不止生日

@X玖少年团肖战DAYTOY",10月06日 00:59,1
77,https://weibo.com/7458170137?refer_flag=1001030103_,我刚刚在#星光大赏# 为 @X玖少年团肖战DAYTOY 贡献星光，一起@腾讯视频 送我去现场为爱豆打call！ O星光大赏星光能量榜,10月06日 00:59,
78,https://weibo.com/1956039944?refer_flag=1001030103_,"#肖战余生请多指教#
肖战余生请多指教
#肖战斗罗大陆#
肖战斗罗大陆
#肖战正能量艺人#
肖战正能量艺人
#肖战公益一路有你#
肖战公益一路有你
#肖战平安喜乐#
肖战平安喜乐
@X玖少年团肖战DAYTOY 顺顺利利",10月06日 00:59,5
79,https://weibo.com/6034235324?refer_flag=1001030103_,避雷边江#肖战忌日快乐#,10月06日 00:59,
80,https://weibo.com/1689520284?refer_flag=1001030103_,公众人物发言前带点脑子吧……乔诗语疯了吗？陈浩还能挽尊是作为海绵宝宝象征性送个生日祝福，你上去转发也就算了，干嘛要这样留言？“怎样？！！” 是嫌自己作为肖战粉丝立场不够明显吗？你的受众可不是🦐，而是227受害者。更别说你圈内受到波及的可不少，都这样了 还把微博当朋友圈（今天不 展开全文c,10月06日 00:59,12
81,https://weibo.com/6805489735?refer_flag=1001030103_,一大早看到肖战的微博开屏后硬是恶心到现在才刷微博，发现热搜还挂着这人，真是又要吐一次。,10月06日 00:59,
82,https://weibo.com/3826516691?refer_flag=1001030103_,#肖战吹蜡烛##愿君安# 总算是抓住了生日祝福的尾巴，有始有终才算得上完完整整陪你过完了生日，未来的日子我们都要好好的!青年演员肖战未来可期！@X玖少年团肖战DAYTOY,10月06日 00:59,
83,https://weibo.com/7496345171?refer_flag=1001030103_,爱豆我正在#2020最美星榜样#为肖战投票，肖战已获得4527240票，排名第2名！wx搜索小程序“最美100偶像”，一起投票，赢取正能量公益百万曝光！,10月06日 00:59,
