,sc_user,sc_repost,sc_time,repost_num,like_num,original_weibo
567,https://weibo.com/5267760279,onlyakitty：俺也是精神重庆人//@海绵宝宝海绵陈浩:别枯，我也是重庆的//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 10:55,转发,赞,5.0
568,https://weibo.com/6750576479,想吃香酥炸鸡块：好久不见了，你怎么这么忍心抛下我们不管不过你好好拍戏，不要被外面的傻逼打扰就好//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 10:07,转发,赞,5.0
569,https://weibo.com/7437375485,豪兄520：宝贝不是在做梦，海绵宝宝没有辜负你。我爱海绵！//@xxxxriristillonline:可爱宝贝，晚安//@X玖少年团肖战DAYTOY: 我枯了 ¡评论配图,11月13日 09:33,转发,赞,5.0
570,https://weibo.com/6190041726,大脸猫爱吃小面包：每次看都会瞬间开心//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 08:54,转发,赞,5.0
571,https://weibo.com/5786408412,一块小西瓜儿：回复@X玖少年团肖战DAYTOY:“只有海绵宝宝不会说谎”//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 08:54,转发,赞,5.0
572,https://weibo.com/2430921754,喵摩乐：可可爱爱//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 08:29,转发,赞,5.0
573,https://weibo.com/3829223383,NANXIAOJIUYI：很想你//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 08:20,转发,赞,5.0
574,https://weibo.com/7404585720,-ubetterrunrunrun-：保存起来，这条不会半年可见。想你的时候我就来看看。//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 08:14,转发,赞,5.0
575,https://weibo.com/7469679928,你啷个愣个呀_：宝宝我好想你//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 08:05,转发,赞,5.0
576,https://weibo.com/6056922853,唱歌跑调小小粉刷匠：祝你快乐不止生日//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 08:03,转发,赞,5.0
577,https://weibo.com/5628912952,君莫笑啥子笑：//@海绵宝宝海绵陈浩:别枯，我也是重庆的//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 07:27,转发,赞,5.0
578,https://weibo.com/3696383230,万物方盛_：宝贝要开心//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 06:53,转发,赞,5.0
579,https://weibo.com/5231474448,一个有思想的年轻人：//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 05:01,转发,赞,5.0
580,https://weibo.com/7284663966,羊尾猪：好想你啊😭️//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 02:58,转发,1,5.0
581,https://weibo.com/2688456101,人月神话-：回复@X玖少年团肖战DAYTOY:宝贝～每天开心。//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 02:41,转发,赞,5.0
582,https://weibo.com/5533244261,雨也拥抱你：谢谢你哦 海绵宝宝//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 02:18,转发,赞,5.0
583,https://weibo.com/7362724413,别惹哭公主：宝贝天天快乐 不止生日//@xxxxriristillonline:可爱宝贝，晚安//@X玖少年团肖战DAYTOY: 我枯了 ¡评论配图,11月13日 01:49,转发,赞,5.0
584,https://weibo.com/7458384346,捉住一只呆桃啦：宝贝//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 01:39,转发,赞,5.0
585,https://weibo.com/5598282856,余周庆：我又在哭 你一定要快快乐乐//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 01:28,转发,赞,5.0
586,https://weibo.com/5842137833,昨夜别枝惊鹊i：//@海绵宝宝海绵陈浩 :别枯，我也是重庆的//@X玖少年团肖战DAYTOY :我枯了 ¡评论配图,11月13日 01:22,转发,赞,5.0
587,https://weibo.com/7241855524,竹竿何袅袅__：宝贝不是在做梦，海绵宝宝没有辜负你。我爱海绵！//@xxxxriristillonline:可爱宝贝，晚安//@X玖少年团肖战DAYTOY: 我枯了 ¡评论配图,11月13日 01:06,转发 1,赞,5.0
588,https://weibo.com/6122765960,晓月无眠载江烟：谢谢老师 宝贝晚安//@海绵宝宝海绵陈浩:别枯，我也是重庆的//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 00:59,转发,赞,5.0
589,https://weibo.com/5012245310,少管我嗯：永远可爱//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 00:50,转发,赞,5.0
590,https://weibo.com/2005127505,夏小优--：准备给儿子看海绵宝宝了//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 00:42,转发,赞,5.0
591,https://weibo.com/3606955720,lskkn：宝贝晚安 喜欢你//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 00:40,转发,赞,5.0
592,https://weibo.com/5220803042,凌霄卍：晚安啦，我们最好最好的战战//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 00:35,转发,赞,5.0
593,https://weibo.com/6618368732,热辣女神郭德纲：想你了…//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月13日 00:33,转发,赞,5.0
594,https://weibo.com/2695480813,五星保飙：我枯了 公屏，把想念打在兄弟上。//@X玖少年团肖战DAYTOY: 我枯了 ¡评论配图,11月13日 00:28,转发,赞,5.0
